==Frequent itemsets (min_sup=1.0%)==
('20636', '24466') ===> ('male',)	 conf: 100.0% 	 supp: 2.3%
('2001', '22680', 'female') ===> ('13210',)	 conf: 100.0% 	 supp: 2.03%
('19424', '2001') ===> ('female',)	 conf: 100.0% 	 supp: 1.99%
('15053', '24040') ===> ('female',)	 conf: 100.0% 	 supp: 2.04%
('2007', '25869') ===> ('22648',)	 conf: 100.0% 	 supp: 2.73%
('13986', '20565') ===> ('2002',)	 conf: 100.0% 	 supp: 1.99%
('21942', 'female') ===> ('2003',)	 conf: 100.0% 	 supp: 2.46%
('2007', '22511') ===> ('19458',)	 conf: 100.0% 	 supp: 2.28%
('2007', '22648') ===> ('female',)	 conf: 100.0% 	 supp: 2.73%
('13986',) ===> ('2002',)	 conf: 100.0% 	 supp: 1.99%
('19757',) ===> ('male',)	 conf: 100.0% 	 supp: 1.63%
('20237', '28405', 'female') ===> ('2005',)	 conf: 100.0% 	 supp: 2.69%
('17815', '2005', 'male') ===> ('25912',)	 conf: 100.0% 	 supp: 2.25%
('16371', '25263') ===> ('female',)	 conf: 100.0% 	 supp: 2.5%
('16590', '26309', 'female') ===> ('2003',)	 conf: 100.0% 	 supp: 2.5%
('27603',) ===> ('female',)	 conf: 100.0% 	 supp: 2.75%
('19698',) ===> ('male',)	 conf: 100.0% 	 supp: 2.28%
('19795',) ===> ('2002',)	 conf: 100.0% 	 supp: 1.72%
('2006', '29185') ===> ('22387',)	 conf: 100.0% 	 supp: 2.77%
('25751', 'male') ===> ('19531',)	 conf: 100.0% 	 supp: 2.28%
('15565', '20559', 'male') ===> ('2005',)	 conf: 100.0% 	 supp: 2.18%
('17815', '25912', 'male') ===> ('2005',)	 conf: 100.0% 	 supp: 2.25%
('12425', '19795', 'male') ===> ('2002',)	 conf: 100.0% 	 supp: 1.72%
('13210', '22680', 'female') ===> ('2001',)	 conf: 100.0% 	 supp: 2.03%
('23580',) ===> ('female',)	 conf: 100.0% 	 supp: 2.75%
('12425',) ===> ('male',)	 conf: 100.0% 	 supp: 1.72%
('2002', '20565') ===> ('female',)	 conf: 100.0% 	 supp: 1.99%
('2006', '23597') ===> ('18537',)	 conf: 100.0% 	 supp: 2.26%
('12064', '2003', 'male') ===> ('17048',)	 conf: 100.0% 	 supp: 1.93%
('23594',) ===> ('female',)	 conf: 100.0% 	 supp: 2.03%
('28405',) ===> ('female',)	 conf: 100.0% 	 supp: 2.69%
('18924', 'female') ===> ('2005',)	 conf: 100.0% 	 supp: 2.65%
('25946', 'female') ===> ('20942',)	 conf: 100.0% 	 supp: 2.74%
('19458',) ===> ('male',)	 conf: 100.0% 	 supp: 2.28%
('25053',) ===> ('15231',)	 conf: 100.0% 	 supp: 2.04%
('12425', '19795') ===> ('2002',)	 conf: 100.0% 	 supp: 1.72%
('17815', '2005') ===> ('25912',)	 conf: 100.0% 	 supp: 2.25%
('2003', '25263') ===> ('female',)	 conf: 100.0% 	 supp: 2.5%
('12706', '2002', 'male') ===> ('21014',)	 conf: 100.0% 	 supp: 1.73%
('18537', '2006', '23597') ===> ('male',)	 conf: 100.0% 	 supp: 2.26%
('2006', '25751', 'male') ===> ('19531',)	 conf: 100.0% 	 supp: 2.28%
('11112', '2002') ===> ('15987',)	 conf: 100.0% 	 supp: 1.65%
('12455',) ===> ('female',)	 conf: 100.0% 	 supp: 1.99%
('16371', 'female') ===> ('25263',)	 conf: 100.0% 	 supp: 2.5%
('15381', '21942', 'female') ===> ('2003',)	 conf: 100.0% 	 supp: 2.46%
('2002', '21014') ===> ('male',)	 conf: 100.0% 	 supp: 1.73%
('2001', '23594') ===> ('13365',)	 conf: 100.0% 	 supp: 2.03%
('22122', 'male') ===> ('2005',)	 conf: 100.0% 	 supp: 2.21%
